Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2022,Riverside,CA,Passenger,7,0,7,460,467,1.5
December 31 2022,Prince William,VA,Passenger,1,2,3,188,191,1.57
January 31 2020,Dakota,MN,Passenger,0,1,1,32,33,3.03
June 30 2022,Ferry,WA,Truck,0,0,0,"3,575","3,575",0
July 31 2021,Douglas,CO,Passenger,0,1,1,83,84,1.19
May 31 2018,Maui,HI,Passenger,1,0,1,59,60,1.67
November 30 2017,Northampton,PA,Passenger,0,1,1,66,67,1.49
March 31 2018,Nassau,NY,Passenger,1,0,1,37,38,2.63
March 31 2020,DeKalb,IN,Passenger,1,0,1,1,2,50
January 31 2019,Columbia,WA,Truck,0,0,0,"1,529","1,529",0
February 28 2017,Maui,HI,Passenger,1,0,1,73,74,1.35
September 30 2017,Orleans,LA,Passenger,0,1,1,45,46,2.17
December 31 2018,Ramsey,MN,Passenger,1,0,1,41,42,2.38
November 30 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
February 29 2020,Montgomery,AL,Passenger,0,1,1,38,39,2.56
August 31 2019,Albemarle,VA,Passenger,1,0,1,23,24,4.17
May 31 2020,Monroe,IL,Passenger,1,0,1,3,4,25
December 31 2021,San Diego,CA,Passenger,17,6,23,"2,541","2,564",0.9
June 30 2021,Skamania,WA,Truck,0,0,0,"4,026","4,026",0
January 31 2017,Douglas,WA,Truck,0,0,0,"11,425","11,425",0
October 31 2022,Washington,OR,Passenger,1,0,1,296,297,0.34
December 31 2022,Sarpy,NE,Passenger,1,0,1,57,58,1.72
February 29 2020,Owyhee,ID,Passenger,1,0,1,3,4,25
June 30 2022,Clinton,PA,Passenger,1,0,1,1,2,50
May 31 2022,Yakima,WA,Truck,0,0,0,"61,408","61,408",0
October 31 2017,Virginia Beach,VA,Passenger,2,1,3,651,654,0.46
May 31 2020,Sedgwick,KS,Passenger,1,1,2,96,98,2.04
September 30 2021,Kittitas,WA,Truck,0,0,0,"14,783","14,783",0
April 30 2021,Asotin,WA,Passenger,19,14,33,"12,651","12,684",0.26
June 30 2021,San Francisco,CA,Passenger,0,1,1,100,101,0.99
June 30 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
June 30 2022,Richmond,NY,Passenger,1,0,1,4,5,20
January 31 2022,Carson City,NV,Passenger,1,0,1,9,10,10
July 31 2020,Santa Clara,CA,Passenger,9,2,11,300,311,3.54
June 30 2021,Harris,TX,Passenger,1,1,2,223,225,0.89
November 30 2021,King,WA,Truck,6,1,7,"1,83,257","1,83,264",0
April 30 2021,Suffolk,VA,Passenger,1,0,1,125,126,0.79
February 28 2022,Clallam,WA,Truck,1,0,1,"22,088","22,089",0
June 30 2019,Clay,FL,Passenger,0,1,1,88,89,1.12
March 31 2019,El Paso,TX,Passenger,2,0,2,495,497,0.4
July 31 2019,Montgomery,MD,Passenger,1,0,1,283,284,0.35
August 31 2023,Harford,MD,Passenger,1,1,2,42,44,4.55
October 31 2020,Franklin,WA,Passenger,73,78,151,"61,083","61,234",0.25
May 31 2022,Burlington,NJ,Passenger,0,2,2,112,114,1.75
May 31 2022,Kings,NY,Passenger,1,0,1,62,63,1.59
June 30 2023,Washtenaw,MI,Passenger,0,2,2,21,23,8.7
April 30 2020,Manassas,VA,Passenger,0,1,1,5,6,16.67
December 31 2021,Whatcom,WA,Passenger,"1,643",673,"2,316","1,49,887","1,52,203",1.52
September 30 2023,Whitman,WA,Passenger,177,86,263,"21,953","22,216",1.18
March 31 2021,Stevens,WA,Passenger,38,43,81,"30,298","30,379",0.27
April 30 2019,Douglas,WA,Passenger,55,34,89,"27,968","28,057",0.32
January 31 2018,Benton,WA,Passenger,175,179,354,"1,30,615","1,30,969",0.27
May 31 2020,Kern,CA,Passenger,0,1,1,228,229,0.44
October 31 2021,Kittitas,WA,Truck,0,0,0,"14,774","14,774",0
December 31 2021,Grant,WA,Truck,0,0,0,"27,988","27,988",0
June 30 2020,Nueces,TX,Passenger,1,0,1,80,81,1.23
September 30 2023,Kings,CA,Passenger,2,2,4,264,268,1.49
April 30 2017,Jackson,MO,Passenger,1,0,1,70,71,1.41
April 30 2023,Polk,OR,Passenger,1,1,2,15,17,11.76
August 31 2019,Powhatan,VA,Passenger,1,0,1,1,2,50
February 28 2019,Anne Arundel,MD,Passenger,0,1,1,441,442,0.23
March 31 2022,Pacific,WA,Passenger,61,68,129,"15,987","16,116",0.8
February 28 2019,San Mateo,CA,Passenger,2,1,3,131,134,2.24
April 30 2021,Ventura,CA,Passenger,1,2,3,276,279,1.08
January 31 2021,Klamath,OR,Passenger,1,0,1,33,34,2.94
June 30 2018,Hamilton,IN,Passenger,1,0,1,46,47,2.13
March 31 2023,Meade,KY,Passenger,1,0,1,18,19,5.26
January 31 2024,Placer,CA,Passenger,1,0,1,51,52,1.92
September 30 2020,Larimer,CO,Passenger,1,0,1,50,51,1.96
March 31 2017,Clallam,WA,Passenger,77,65,142,"48,077","48,219",0.29
December 31 2023,Clallam,WA,Truck,29,0,29,"21,315","21,344",0.14
December 31 2017,Kittitas,WA,Truck,0,0,0,"13,805","13,805",0
November 30 2019,Fairbanks North Star,AK,Passenger,0,1,1,97,98,1.02
July 31 2022,Clark,WA,Truck,9,0,9,"82,497","82,506",0.01
December 31 2018,Bexar,TX,Passenger,3,4,7,717,724,0.97
April 30 2018,Manatee,FL,Passenger,1,0,1,38,39,2.56
July 31 2023,Washtenaw,MI,Passenger,0,2,2,20,22,9.09
May 31 2023,Williamson,TX,Passenger,0,1,1,53,54,1.85
